title,url,sizeInBytes
Tory Burch Outlet Boutique UK | Sale Now On | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/tory-burch/,111886
Tumi Travel Essentials at Bicester Village - Premium Craftsmanship & Durability | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/tumi/,189003
Tommy Hilfiger Kids and Womenswear Outlet | Trainers Sale Now On | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/tommy-hilfiger-kids-womens/,206851
UGG Outlet Boutique Near London | UGG Sale Now On | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/ugg/,152909
"Under Armour Outlet Near London, UK | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/under-armour/,222943
"Discover Sale Now At Valentino Outlet UK | Bags, Shoes & More | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/valentino-garavani/,169154
"Sale Now on at Versace Outlet Near London, UK | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/versace/,179550
"Villeroy And Boch Outlet Near London, UK | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/villeroy-and-boch/,210429
Sale Now on at Vilebrequin Outlet Boutique UK | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/vilebrequin/,219797
Watchfinder & Co. | Preowned Luxury Watch Specialist | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/watchfinder-and-co/,218294
"Vivienne Westwood Clothing Outlet, UK | Sale Now On | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/vivienne-westwood/,253392
"Vans® Outlet Boutique Near London, UK | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/vans/,411286
Ermenegildo Zegna Outlet Boutique | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/ermenegildo-zegna/,157105
Zwilling J.A. Henckels Outlet Boutique UK | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/zwilling/,226016
"Great Things to Do at Bicester Village | Shopping, Events & Dining | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/visit/best-things-to-do-at-bicester-village/,119123
Zadig And Voltaire Outlet Boutique UK | Sneakers Sale On Now | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/zadig-and-voltaire/,303255
